               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.057474,            0.042404,            0.018248,             0.62274,             0.43896,             0.46483,             0.30022,            0.054102,            0.066735,            0.036679,            0.002872,            0.002872,            0.002872
                  38,             0.05747,             0.04228,            0.018134,             0.62171,             0.44138,             0.46513,             0.30047,            0.054088,            0.066731,            0.036739,            0.002674,            0.002674,            0.002674
                  39,             0.05726,            0.042161,            0.018005,             0.61997,             0.44217,             0.46578,             0.30097,            0.054077,            0.066738,            0.036788,            0.002476,            0.002476,            0.002476
                  40,            0.057114,            0.042158,            0.017876,              0.6237,             0.44179,             0.46627,             0.30135,            0.054063,             0.06674,            0.036842,            0.002278,            0.002278,            0.002278
                  41,            0.057116,            0.041779,            0.017825,             0.62609,             0.44161,             0.46678,             0.30161,            0.054054,            0.066751,            0.036889,             0.00208,             0.00208,             0.00208
                  42,            0.056717,            0.041476,            0.017581,             0.62635,             0.44101,             0.46719,              0.3021,            0.054044,            0.066771,            0.036922,            0.001882,            0.001882,            0.001882
                  43,            0.056596,            0.041224,             0.01742,             0.62625,             0.44133,              0.4677,             0.30261,            0.054037,            0.066804,             0.03697,            0.001684,            0.001684,            0.001684
                  44,            0.056392,            0.041003,            0.017306,             0.62777,             0.44113,             0.46809,             0.30282,            0.054028,            0.066826,            0.037021,            0.001486,            0.001486,            0.001486
                  45,            0.056281,            0.041048,            0.017227,             0.62916,             0.44179,             0.46851,             0.30299,            0.054022,            0.066855,            0.037074,            0.001288,            0.001288,            0.001288
                  46,            0.056179,            0.040664,            0.017129,             0.62925,             0.44177,             0.46901,             0.30339,            0.054018,            0.066895,            0.037137,             0.00109,             0.00109,             0.00109
                  47,            0.055817,            0.040211,            0.016955,             0.63181,             0.44145,             0.46951,             0.30362,            0.054014,            0.066935,            0.037224,            0.000892,            0.000892,            0.000892
                  48,            0.055717,            0.040327,             0.01682,             0.63168,             0.44267,             0.46997,             0.30405,            0.054013,            0.066984,            0.037287,            0.000694,            0.000694,            0.000694
                  49,            0.055404,            0.039774,            0.016665,             0.63312,             0.44241,             0.47051,             0.30437,            0.054014,            0.067039,            0.037337,            0.000496,            0.000496,            0.000496
